RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
2,0,0,46.0,1,3,3,0,0,1,1,17230.0,9.7544653661431,1,7.0,2,0,0,0,0,0,0,3,3,1,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,0,44.0,0,1,1,0,0,0,4,35000.0,10.463131911491967,3,21.0,1,0,0,0,0,0,0,3,3,2,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,65.0,1,4,2,0,1,1,1,14500.0,9.581972891547895,1,31.0,2,0,1,0,0,0,0,2,3,2,2.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2,0,0,58.0,1,2,3,0,0,1,1,15700.0,9.661479683575521,3,61.0,2,0,0,0,0,0,0,2,4,1,2.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0,0,56.0,0,1,1,0,1,0,2,23000.0,10.043292972227004,2,61.0,2,1,1,1,0,0,0,3,3,2,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,1,21.0,1,2,3,0,0,0,2,20000.0,9.90353755128617,1,41.0,2,0,1,0,0,0,0,3,3,2,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,1,0,41.0,0,1,3,0,0,0,2,22200.0,10.007892611890918,2,81.0,1,0,0,0,0,0,0,3,3,3,2.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,77.0,0,3,2,0,1,1,1,16000.0,9.680406499268875,1,21.0,2,0,0,1,1,0,0,1,3,1,2.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2,0,0,40.0,0,2,3,0,0,0,5,38000.0,10.545367754151743,1,61.0,2,0,0,1,0,0,0,1,3,2,2.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,68.0,1,3,2,0,1,1,1,15700.0,9.661479683575521,2,51.0,2,0,1,1,0,1,0,3,3,2,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,21.0,0,4,3,0,0,0,1,15000.0,9.61587214452889,1,31.0,2,0,1,1,1,0,0,3,3,2,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,48.0,1,1,1,0,0,0,5,50980.0,10.839208293273229,1,71.0,1,0,0,0,0,0,0,3,3,0,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3,0,1,70.0,1,4,3,0,1,0,1,15700.0,9.661479683575521,1,61.0,2,0,1,0,0,0,0,3,3,1,2.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,37.0,1,2,3,0,0,0,1,21000.0,9.952325334619427,1,3.0,2,0,0,0,0,0,0,3,3,0,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,42.0,0,1,3,0,0,1,3,31500.0,10.357774570341576,1,91.0,2,1,0,1,1,0,0,3,3,0,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,32.0,1,3,1,1,0,1,5,34500.0,10.448743588106625,1,91.0,1,0,0,1,0,1,0,1,4,1,2.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,50.0,0,3,2,0,0,0,1,25000.0,10.12667110305036,2,31.0,3,0,1,0,0,0,0,3,2,0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,74.0,1,2,2,0,1,1,1,23000.0,10.043292972227004,3,31.0,2,0,0,0,0,0,0,2,4,0,2.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3,0,1,29.0,1,5,1,0,0,0,2,20000.0,9.90353755128617,1,51.0,2,0,0,0,0,1,0,3,3,2,2.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,1,1,27.0,0,1,3,0,0,0,2,26000.0,10.165890277802454,1,81.0,2,0,1,1,0,0,0,3,1,0,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,0,0,67.0,1,1,2,0,1,1,1,12804.0,9.457590998633625,1,61.0,2,0,0,0,0,0,0,1,1,1,2.0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,85.0,0,2,2,0,1,1,1,18000.0,9.798182590890704,1,31.0,2,0,1,1,0,0,0,3,2,1,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,33.0,0,5,3,0,0,0,2,30000.0,10.308985993422082,2,101.0,1,0,0,0,0,0,0,3,1,0,2.0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
